1995   1  14 1308353.5146000       0.0000000       0.0000000       0.0000000       0.0000000
1995   1  15  490566.7331000  797112.7226000     987.9197000    3913.2186000       0.0000000
1995   1  16   71182.9216000 1159269.6406000   13395.3559000    8705.5778000       0.0000000
1995   1  17   15201.0873000 1069819.3890000  135181.3114000   12212.6072000       0.0000000
1995   1  18   12817.3333000  623627.5719000  331891.4782000  200105.3870000       0.0000000
1995   1  19   17341.2567000  177088.0119000  380402.0020000  606006.7431000       0.0000000
1995   1  20    7734.6570000   92100.1802000  339478.1989000  771658.8604000    3306.0339000
1995   1  21   17813.4414000   98096.6830000  428723.7955000  658785.1831000   54157.0266000
1995   1  22    4198.6558000   81817.9269000  312867.8295000  586001.9339000  205818.3494000
1995   1  23   14275.9314000   73853.1991000  377983.4411000  434401.8843000  241607.1582000
1995   1  24   15137.1743000   70757.5849000  362317.9448000  498360.3643000  409358.3540000
1995   1  25   25715.7656000   83901.0900000  374077.9572000  392973.5165000  459878.1306000
1995   1  26    6210.0169000   63685.8073000  381545.6037000  472234.8948000  415880.3286000
1995   1  27    5553.9438000   67288.2053000  435208.0964000  412970.5264000  406295.8197000
1995   1  28   18027.4665000   94736.2446000  461396.7245000  401682.4329000  404846.6242000
1995   1  29   15249.4845000   89972.4127000  478670.5865000  400822.2783000  377140.6538000
1995   1  30   20705.8153000   88665.2294000  488952.8856000  457065.8780000  452659.7121000
1995   1  31   12564.4771000   77359.3601000  537234.3800000  478928.1791000  439675.0896000
1995   1  32   16076.2217000   78619.7350000  527940.6813000  439655.6385000  460394.6879000
1995   1  33   16583.3712000   78681.7107000  594928.1525000  507551.9477000  502462.7739000
1995   1  34   11587.1478000   94490.7422000  567373.9608000  552398.6033000  488655.7948000
1995   1  35   16452.8007000   97388.7365000  628781.3776000  481587.8268000  454567.8614000
1995   1  36   16200.2533000   79463.3897000  557949.9340000  508852.2398000  448323.8503000
1995   1  37   11402.1339000  142362.6128000  618960.8849000  472510.3707000  462680.0734000
1995   1  38   20402.6956000   91686.0622000  588930.5255000  478837.4071000  460271.7747000
1995   1  39   22976.2667000  119729.7487000  585238.6114000  514252.1076000  373798.6222000
1995   1  40   13626.0154000  102120.7764000  638423.3733000  476862.7141000  461221.0819000
1995   1  41   30436.7005000   87156.3075000  527468.8112000  488225.8093000  448434.3746000
1995   1  42   16239.1995000   57751.2129000  509336.1401000  478021.6894000  479710.9343000
1995   1  43   21068.8220000   77358.6151000  497649.4119000  448725.4816000  407723.9297000
1995   1  44   22687.1674000   71167.2897000  541719.8388000  400863.9393000  453299.7838000
1995   1  45   14970.2263000   73348.5783000  457122.8501000  435231.0598000  397776.0460000
1995   1  46   29403.7232000   67759.5966000  479507.9386000  393945.7541000  428987.8757000
1995   1  47   26307.0741000   79744.4987000  490664.0313000  416055.3509000  409012.2442000
1995   1  48   38566.8796000   89087.7044000  553510.8171000  449491.7808000  363988.3514000
1995   1  49   28755.8481000   76352.4532000  428462.7167000  294298.2331000  314427.7391000
1995   2  14  291606.4487000       0.0000000       0.0000000       0.0000000       0.0000000
1995   2  15  131693.4998000  178061.8045000       0.0000000       0.0000000       0.0000000
1995   2  16   45424.5872000  255785.9288000    1010.1092000       0.0000000       0.0000000
1995   2  17   15610.9245000  236423.8462000   20201.3630000    5988.5079000       0.0000000
1995   2  18    3558.8437000  193943.8089000   75354.1775000   35599.2922000       0.0000000
1995   2  19       0.0000000   88931.8553000   88594.8817000   79044.2339000       0.0000000
1995   2  20    2158.9733000   55791.6063000   83716.0354000  111146.3376000       0.0000000
1995   2  21    1092.0414000   58561.7299000   99178.5149000  114198.0082000   11911.9554000
1995   2  22    8986.2335000   63578.8246000   83362.6616000  104165.8236000    8621.7960000
1995   2  23    1690.2556000   45283.9636000  100061.0015000  118460.0299000   11989.8975000
1995   2  24    4130.9802000   47386.7729000   59375.4638000  116744.2265000   59819.2582000
1995   2  25       0.0000000   45450.8251000   89403.1658000   87276.6921000   28951.1988000
1995   2  26       0.0000000   32423.4591000   89148.0195000   47175.3824000   28674.1366000
1995   2  27       0.0000000   41284.5136000  106402.6199000  127682.7583000   50911.4319000
1995   2  28    6740.9948000   24760.6843000  130865.6865000  102124.6965000   35423.2864000
1995   2  29    5383.5149000   38589.2959000  141640.8540000   91293.1152000   43999.6088000
1995   2  30    7470.1258000   29769.3321000  105172.7432000   92513.3016000   44070.0295000
1995   2  31    9363.8083000   34374.7607000   78469.3769000  102138.5672000   47561.6420000
1995   2  32    8580.5686000   49794.9565000  134059.8246000   52501.6630000   32358.9255000
1995   2  33    6170.0937000   62149.1244000  126055.4535000  106308.3765000   50339.0664000
1995   2  34    1846.3861000   46677.6285000  136971.0557000  103443.8168000   44186.5207000
1995   2  35    6329.2112000   40858.7667000  119613.1997000  103601.5832000   49656.5424000
1995   2  36    3658.2981000   30302.0568000  125908.2557000  101563.7221000   41435.1482000
1995   2  37    4182.6615000   35585.2771000  123233.5815000   99003.1327000   52062.9303000
1995   2  38    5822.0556000   24005.8626000   99635.5547000   73949.3658000   27431.0599000
1995   2  39     369.8421000   41345.7184000  140622.8990000   90101.1146000   38666.2054000
1995   2  40    4673.9446000   38768.9706000   93442.9561000   61168.5206000   42027.6805000
1995   2  41   10833.7448000   41575.5672000  104143.8219000   39261.4299000   45719.3465000
1995   2  42   13342.1938000   22923.6031000  123772.7157000   87011.5175000   44895.2509000
1995   2  43   10737.9014000   38762.2265000   80225.7958000   57168.6043000   68607.8436000
1995   2  44    3414.2163000   27171.0917000   87585.8910000   97347.8145000   54870.3889000
